min avg max
3.048020003165372 6.09787448785211 8.58346590521377
3.4845640912649984 7.428299164102586 12.865405587150608
3.5440566490701295 7.764561610387588 12.865405587150608
3.877911758836521 8.465876661972345 12.865405587150608
5.338561346080066 9.952447974945258 13.010762888406246
7.379228449035038 11.265669306383094 14.814237475617933
3.2583768501445913 11.457723917701854 14.814237475617933
6.425677529911285 10.832353699251774 14.814237475617933
7.1389070444802165 11.997397490147257 14.814237475617933
12.449213513704409 14.211034398870847 17.083348626545117
5.473040840456863 13.048610984469232 17.083348626545117
1.6734719372540452 12.448674430780073 17.083348626545117
0.43874089134013133 11.113367913627396 17.083348626545117
6.588477532729872 11.892916432180648 17.083348626545117
4.709449224792187 11.987765532470657 17.083348626545117
6.53800587293238 12.639259526529234 17.083348626545117
5.658542370438538 12.191095227370715 17.083348626545117
2.5154730117782824 11.903626798915083 17.083348626545117
6.024874153405005 12.22587507645095 17.083348626545117
4.654218067435669 11.934558415101115 17.083348626545117
