mono,mu,alpha
274,0.306,152.153905
582,3.512,143.788546
954,2.283,132.055751
549,7.178,121.188378
313,4.136,156.591651
1215,1.522,119.789067
258,0.642,91.569925
1011,4.723,81.780526
619,0.81,141.483954
112,2.206,104.206629
556,6.79,122.094646
854,2.152,166.819711
683,1.975,151.378746
326,1.103,144.408368
185,3.465,98.080922
902,1.878,163.050265
722,3.444,95.249508
616,5.491,155.149856
615,5.748,64.193749
104,3.159,160.473683
307,0.618,150.048471
439,5.057,88.241364
323,1.649,112.883851
516,1.001,89.156886
58,5.639,211.559836
757,2.977,95.992837
1119,3.217,131.53313
487,1.826,88.993031
298,1.189,113.502448
607,0.282,164.596385
204,0.0,67.869835
314,3.413,139.697577
436,0.695,129.787422
848,1.389,159.54733
227,0.772,99.030219
92,2.451,81.084008
1152,1.144,390.479926
13,1.884,162.985772
893,2.478,138.056805
1044,1.622,91.849985
1190,4.634,234.016274
693,0.486,147.252937
1123,2.288,79.319582
976,0.482,134.942753
168,1.179,133.846913
681,9.975,133.475579
759,2.356,169.73823
40,2.004,199.494105
276,2.537,126.989596
211,4.066,136.057038
536,1.944,128.792262
443,0.908,134.458663
972,4.449,139.560439
786,6.09,90.777423
406,0.431,157.236964
61,0.815,116.463348
122,0.232,136.065109
362,1.338,145.62458
714,4.706,127.791667
775,1.935,76.997046
1223,1.898,144.984677
637,0.927,161.559566
1127,1.635,138.727685
501,3.941,106.863079
147,0.934,131.836057
496,1.342,238.179538
435,4.582,124.134085
158,0.588,96.522981
129,4.769,134.285322
289,7.214,92.365587
740,2.468,122.263302
512,0.068,250.308015
1000,4.945,129.882716
609,1.665,138.270796
24,3.898,103.74013
1041,2.408,121.778267
1231,4.296,182.273225
523,3.3,103.273632
1180,0.925,134.072526
831,1.339,95.552433
526,3.631,101.57391
822,3.779,158.316662
1166,0.812,87.542051
1010,0.001,158.921847
385,1.47,143.071508
91,0.886,118.947628
635,5.342,111.762944
1192,2.564,88.730848
1033,3.311,205.858287
842,1.177,131.932383
658,0.697,123.513333
416,0.677,88.002571
226,0.68,159.247182
228,2.163,120.99234
742,3.819,81.237494
48,4.471,128.698942
781,1.573,161.301875
591,0.03,90.950406
73,2.899,228.591069
105,1.059,220.663768
772,4.092,129.267027
125,3.003,102.160065
400,2.766,124.969387
601,0.331,211.003886
518,1.9,66.475479
93,2.928,251.133662
404,2.846,145.520758
510,1.092,92.56515
1055,1.378,103.466649
665,2.685,129.648455
1028,7.693,133.015717
500,5.783,93.222822
1065,2.076,136.499239
157,5.307,132.08159
833,5.1,104.81908
354,1.686,118.713844
703,0.042,116.696774
1037,0.639,134.148548
701,0.459,118.34767
1189,0.161,148.332637
1051,0.867,82.896307
251,6.198,98.210483
423,0.002,161.981014
21,2.668,198.007399
966,2.96,187.739288
294,3.6,103.092665
644,0.565,150.547252
260,3.48,85.99031
524,2.978,112.250308
195,2.34,134.639744
115,0.024,133.204514
758,0.37,110.535566
737,6.023,100.340217
452,2.471,77.943324
10,1.665,99.453333
1158,3.629,107.94711
1024,0.315,159.023296
643,3.305,91.122939
640,5.935,126.700923
332,0.975,131.914096
233,5.512,92.338892
315,3.14,154.288658
978,1.039,112.717458
1186,5.868,123.025231
1222,6.363,141.444592
1035,6.041,133.61536
14,3.05,107.817576
995,4.063,134.87096
793,2.491,154.668785
432,0.585,118.298927
970,3.279,121.234615
728,1.939,129.511339
148,4.354,95.943279
776,3.765,128.54441
1081,1.68,146.973407
894,3.833,72.269977
977,2.21,273.105073
1026,1.638,128.641822
789,2.444,100.885134
768,1.799,142.849163
466,1.439,95.927501
998,2.229,130.17315
328,1.231,73.03829
451,1.024,76.499651
795,2.395,119.133888
949,5.62,91.473787
839,3.355,124.324582
1113,0.133,181.540334
515,2.161,207.574003
957,0.814,105.57958
702,3.486,121.01575
718,5.093,124.261885
931,1.329,119.665953
679,1.999,77.037054
934,3.234,107.862211
51,0.83,120.549998
174,1.863,94.112891
1169,2.47,147.279577
916,1.88,140.496405
922,5.324,83.0457
353,0.523,80.065641
749,1.518,129.451436
278,4.296,120.030567
704,2.45,94.779387
628,0.851,109.511764
694,1.41,142.080549
83,0.951,107.6926
46,5.209,184.748013
49,5.245,127.397528
296,0.233,270.361482
608,3.409,290.017002
170,6.486,156.144028
476,1.711,66.237837
508,2.912,114.075757
399,2.625,120.912056
467,3.014,95.578085
419,5.461,159.069332
351,4.765,102.679671
1196,5.664,134.191938
840,6.425,156.205055
299,4.584,197.52879
18,2.522,130.560657
960,2.685,136.460395
958,3.3,158.933879
282,1.423,88.201068
1,1.931,152.080799
864,2.237,78.942016
287,1.677,127.992667
692,1.787,76.803503
712,3.897,140.932106
291,5.314,128.96577
55,3.424,221.239486
1068,7.881,101.183369
993,1.493,172.089677
865,1.977,89.101047
247,2.919,103.310704
1133,1.48,58.642712
363,3.118,115.379942
917,1.89,142.121644
1142,4.076,151.746956
143,2.873,211.108386
1130,1.924,88.012872
1085,2.425,132.603516
719,2.067,105.271585
859,0.195,170.90419
1160,4.262,72.701614
1224,2.441,181.566252
706,6.911,123.86354
778,5.841,113.887028
1087,1.94,125.696322
413,1.85,129.556428
948,8.503,101.780583
25,1.346,111.395768
992,2.036,119.762727
442,1.956,141.714174
707,2.373,78.54367
962,3.122,137.995703
932,2.155,138.121889
337,2.438,192.77267
710,0.884,84.050287
699,5.989,118.930035
572,1.773,119.983156
1204,4.394,114.54959
464,3.016,153.423159
463,3.516,153.477698
866,0.0,108.530569
1102,0.895,184.589526
1038,1.549,106.878451
52,3.458,100.31363
938,2.847,73.571883
667,7.779,130.635546
1148,0.315,156.897096
374,3.445,63.44786
584,0.389,49.985666
507,0.001,161.121429
352,1.38,121.621826
154,2.023,156.554318
133,3.657,143.315391
654,0.639,161.695404
134,1.975,128.33906
44,1.28,41.152366
120,2.905,152.728028
645,0.479,163.278735
1221,1.574,131.988147
1072,6.594,78.83915
803,3.782,112.496511
1109,1.875,182.043507
1131,3.351,129.432803
576,2.115,151.514089
886,3.041,82.903926
1172,4.328,105.170838
872,4.026,157.405225
832,0.229,95.815827
777,0.459,114.218687
715,3.706,85.343018
720,1.749,164.651296
861,3.71,118.410274
77,2.22,93.266089
421,2.961,144.29945
918,2.985,94.905198
527,2.22,192.781949
879,0.817,295.543206
849,0.908,107.432308
1163,1.483,153.101642
535,2.114,91.156682
119,0.0,84.998842
750,0.706,119.02842
989,2.031,54.495291
135,5.012,116.889383
562,4.6,109.57869
830,2.227,172.127705
561,0.0,85.414809
892,1.142,107.362265
1060,1.15,60.421717
843,2.469,77.430329
1156,2.126,174.438721
711,0.806,111.71356
836,4.318,82.679029
166,0.127,124.548268
283,3.205,160.553544
377,7.602,174.575252
1007,2.428,132.606416
950,0.079,94.001037
1145,5.274,104.294309
216,1.299,67.691661
1151,1.711,152.840473
96,1.549,180.188416
127,1.362,153.976283
896,4.46,140.270418
420,1.914,148.239584
140,1.289,146.997495
546,2.782,127.404389
409,1.417,143.947903
554,0.581,120.598598
495,6.816,111.405334
943,0.478,118.348651
1214,0.0,142.07396
1092,2.615,176.429965
62,4.916,184.182921
636,1.824,321.756215
725,0.0,72.924067
1015,2.484,124.915221
968,1.545,105.485576
454,2.374,88.611087
70,3.042,174.607692
35,3.135,198.994241
398,2.822,188.591347
623,1.753,146.90937
933,2.295,157.219885
599,1.734,204.654231
559,0.351,250.988661
309,0.522,195.832461
1170,2.803,211.123851
953,2.954,103.61587
767,1.781,103.050512
1179,0.917,115.376176
124,4.433,142.336009
878,6.742,149.994497
405,2.083,103.230512
761,1.283,99.497569
551,0.183,204.570083
563,0.596,437.135889
414,2.573,153.160604
800,1.695,116.084667
491,2.918,119.377936
103,2.994,243.983799
605,2.892,97.488723
856,1.289,138.35923
150,1.63,107.231411
383,2.204,94.378503
760,4.873,131.51775
295,0.639,127.510883
669,3.802,62.817908
747,0.817,137.582071
446,4.086,80.212287
1202,0.796,106.08809
1178,0.006,299.014445
935,4.7,106.189946
30,0.002,187.673487
716,1.473,92.341914
850,2.093,130.869462
369,1.533,152.911979
646,2.394,241.834489
981,1.873,158.740656
687,2.805,118.373818
956,2.881,117.830816
71,3.928,116.373486
22,5.5,81.772791
528,2.42,144.252764
280,1.215,78.323175
985,3.164,99.304949
139,2.111,211.041125
240,1.793,92.250601
85,3.211,143.774611
79,1.964,158.327269
984,2.358,158.41628
944,3.809,119.633954
90,7.042,129.269857
732,2.098,54.510142
941,1.34,109.160623
156,0.0,80.531166
1226,3.362,177.82332
263,1.258,164.600815
668,0.561,107.97088
907,0.616,127.987056
1183,2.561,104.921319
1140,4.08,161.453431
293,5.618,183.975661
277,5.808,156.739944
229,6.054,101.805388
