run,gen,alpha,mu,vol
1,1,783.185837,22.999,1002.5327558623162
1,1,2503.883933,6.242,2979.317675942489
1,1,645.659148,38.572,767.6933964237863
1,1,655.280405,0.897,862.8160949879934
1,1,752.274157,8.261,959.2232347838625
1,1,664.643018,19.899,816.9361106129286
1,1,805.477346,26.644,954.8656322077643
1,1,1127.971383,2.75,1349.9376599116385
1,1,1121.180674,10.789,1331.7661947258953
1,1,655.614096,23.987,789.9404756765393
1,1,612.855028,13.233,777.9576396124538
1,1,554.509998,3.968,694.0364338312188
1,1,777.128391,24.729,928.1668092970635
1,1,664.563548,14.114,826.1313161592187
1,1,484.960934,6.552,660.9699526382766
1,1,657.795374,19.958,790.380863881108
1,1,891.905248,4.185,1038.8880019771436
1,1,622.52054,27.666,742.2183258792523
1,1,672.206902,14.359,888.1444478957017
1,1,744.743986,21.018,838.2322206760917
1,1,803.355331,17.586,932.3943001638002
1,1,1074.748474,19.427,1269.9980519454452
1,1,859.897201,16.908,1088.787364600351
1,1,900.692341,4.37,1039.9971793484199
1,1,772.484898,15.861,978.5657851057792
1,1,689.810698,11.751,837.9555827639772
1,1,871.366621,25.334,1112.4286998263553
1,1,722.634386,19.304,823.4249377996224
1,1,686.127765,31.313,825.1288926472652
1,1,719.748819,26.622,875.5727749917388
1,1,762.779787,12.777,927.1503316393587
1,1,783.286888,7.72,954.2049931109705
1,2,645.659148,38.572,767.6933964237863
1,2,686.127765,31.313,825.1288926472652
1,2,622.52054,27.666,742.2183258792523
1,2,719.748819,26.622,875.5727749917388
1,2,805.477346,26.644,954.8656322077643
1,2,655.614096,23.987,789.9404756765393
1,2,777.128391,24.729,928.1668092970635
1,2,871.366621,25.334,1112.4286998263553
1,2,783.185837,22.999,1002.5327558623162
1,2,744.743986,21.018,838.2322206760917
1,2,657.795374,19.958,790.380863881108
1,2,664.643018,19.899,816.9361106129286
1,2,722.634386,19.304,823.4249377996224
1,2,803.355331,17.586,932.3943001638002
1,2,1074.748474,19.427,1269.9980519454452
1,2,859.897201,16.908,1088.787364600351
1,2,490.496172,2.084,599.9609880143443
1,2,623.079842,17.256,778.1802511341107
1,2,932.398927,31.362,1193.4553442404572
1,2,638.825852,18.041,802.2631715321993
1,2,826.098379,29.134,1045.1424010337457
1,2,899.672553,10.763,1166.9874531441487
1,2,737.5292,16.644,899.8746775114997
1,2,789.714265,13.331,983.9704026762433
1,2,679.568738,22.021,822.6895208897624
1,2,803.366549,12.774,953.9959578856315
1,2,658.926826,22.162,774.2431893775786
1,2,775.485014,27.757,967.9891449500266
1,2,1068.922604,4.707,1196.592584087827
1,2,764.362073,31.382,915.3409991606638
1,2,602.441256,17.934,730.9157620993277
1,2,920.532391,31.539,1129.936987245522
1,3,645.659148,38.572,767.6933964237863
1,3,686.127765,31.313,825.1288926472652
1,3,764.362073,31.382,915.3409991606638
1,3,622.52054,27.666,742.2183258792523
1,3,920.532391,31.539,1129.936987245522
1,3,932.398927,31.362,1193.4553442404572
1,3,826.098379,29.134,1045.1424010337457
1,3,719.748819,26.622,875.5727749917388
1,3,775.485014,27.757,967.9891449500266
1,3,805.477346,26.644,954.8656322077643
1,3,655.614096,23.987,789.9404756765393
1,3,777.128391,24.729,928.1668092970635
1,3,658.926826,22.162,774.2431893775786
1,3,679.568738,22.021,822.6895208897624
1,3,871.366621,25.334,1112.4286998263553
1,3,783.185837,22.999,1002.5327558623162
1,3,885.654772,22.54,1135.2442594781808
1,3,783.131725,27.254,993.3572869172383
1,3,783.673957,29.249,934.4311173923904
1,3,1031.105178,19.392,1299.5881044478444
1,3,688.504604,7.894,839.4422474492367
1,3,637.390316,32.753,754.5443020535763
1,3,843.942672,20.074,986.8253547712818
1,3,685.145674,29.236,835.5680054788304
1,3,613.120366,19.705,752.3119622519007
1,3,782.122141,28.45,960.5651315129546
1,3,760.67179,24.337,905.6379151515082
1,3,815.914114,19.773,1037.1433776839435
1,3,505.594167,9.742,620.1889294521801
1,3,796.777279,11.626,947.3648077455153
1,3,675.418114,22.458,813.7366025313214
1,3,659.066966,22.998,774.6604867708025
1,4,645.659148,38.572,767.6933964237863
1,4,637.390316,32.753,754.5443020535763
1,4,686.127765,31.313,825.1288926472652
1,4,764.362073,31.382,915.3409991606638
1,4,622.52054,27.666,742.2183258792523
1,4,685.145674,29.236,835.5680054788304
1,4,783.673957,29.249,934.4311173923904
1,4,920.532391,31.539,1129.936987245522
1,4,782.122141,28.45,960.5651315129546
1,4,932.398927,31.362,1193.4553442404572
1,4,826.098379,29.134,1045.1424010337457
1,4,719.748819,26.622,875.5727749917388
1,4,775.485014,27.757,967.9891449500266
1,4,783.131725,27.254,993.3572869172383
1,4,805.477346,26.644,954.8656322077643
1,4,655.614096,23.987,789.9404756765393
1,4,806.291672,29.641,995.2636386573569
1,4,1057.280331,39.916,1234.657334372902
1,4,618.358517,25.965,742.8327106042811
1,4,751.309746,15.861,947.2649144259641
1,4,643.551699,21.794,778.3493080030536
1,4,955.145773,34.788,1200.640320547285
1,4,938.143427,22.39,1136.6748711007708
1,4,782.804035,27.224,993.149437956362
1,4,1053.600261,13.522,1288.950937445401
1,4,712.501317,27.802,884.4715291732969
1,4,877.609837,10.394,1042.079305582613
1,4,709.476293,19.073,886.0841045484714
1,4,790.147372,11.756,941.0433330501295
1,4,906.111415,20.936,1058.1126233181612
1,4,1057.650232,43.59,1234.938737853682
1,4,775.455415,25.608,968.191024617565
1,5,645.659148,38.572,767.6933964237863
1,5,1057.650232,43.59,1234.938737853682
1,5,637.390316,32.753,754.5443020535763
1,5,1057.280331,39.916,1234.657334372902
1,5,686.127765,31.313,825.1288926472652
1,5,764.362073,31.382,915.3409991606638
1,5,622.52054,27.666,742.2183258792523
1,5,685.145674,29.236,835.5680054788304
1,5,955.145773,34.788,1200.640320547285
1,5,783.673957,29.249,934.4311173923904
1,5,618.358517,25.965,742.8327106042811
1,5,806.291672,29.641,995.2636386573569
1,5,920.532391,31.539,1129.936987245522
1,5,712.501317,27.802,884.4715291732969
1,5,782.122141,28.45,960.5651315129546
1,5,932.398927,31.362,1193.4553442404572
1,5,765.597222,23.779,929.26375616016
1,5,905.123988,15.229,1168.6759094140577
1,5,772.479096,20.666,961.765904922797
1,5,1097.618165,19.12,1282.5524568660926
1,5,924.985135,15.672,1193.0220207967004
1,5,705.022287,30.789,841.4357206749726
1,5,804.119038,6.544,937.7073082938867
1,5,629.32059,26.891,741.2693012657438
